时间,开盘,收盘,最高,最低,成交量,成交额,均价,涨跌幅
2025-10-24 09:30:00,29.55,29.55,29.55,29.55,14140,41783552.0,29.55,0.0
2025-10-24 09:31:00,29.56,29.52,29.6,29.51,47373,139992228.0,29.551,-0.10152284263960087
2025-10-24 09:32:00,29.53,29.56,29.62,29.53,30302,89621949.0,29.559,0.03384094754652622
2025-10-24 09:33:00,29.57,29.64,29.72,29.56,36433,107981629.0,29.582,0.3045685279187804
2025-10-24 09:34:00,29.63,29.63,29.63,29.58,17395,51508798.0,29.585,0.2707275803722542
2025-10-24 09:35:00,29.64,29.65,29.65,29.58,18769,55580381.0,29.588,0.33840947546530664
2025-10-24 09:36:00,29.67,29.58,29.67,29.58,21066,62449007.0,29.595,0.10152284263957867
2025-10-24 09:37:00,29.59,29.6,29.63,29.59,21774,64459446.0,29.596,0.16920473773265332
2025-10-24 09:38:00,29.62,29.61,29.65,29.58,24300,71975940.0,29.598,0.20304568527917954
2025-10-24 09:39:00,29.59,29.59,29.62,29.57,25629,75844057.0,29.598,0.1353637901861271
2025-10-24 09:40:00,29.59,29.6,29.61,29.59,16856,49896807.0,29.598,0.16920473773265332
2025-10-24 09:41:00,29.59,29.51,29.59,29.51,44596,131897043.0,29.595,-0.1353637901861271
2025-10-24 09:42:00,29.51,29.57,29.58,29.5,24962,73762327.0,29.592,0.06768189509305245
2025-10-24 09:43:00,29.58,29.64,29.64,29.55,19766,58553801.0,29.593,0.3045685279187804
2025-10-24 09:44:00,29.68,29.72,29.78,29.68,43067,128003815.0,29.607,0.5752961082910346
2025-10-24 09:45:00,29.72,29.81,29.82,29.72,39360,117168636.0,29.621,0.879864636209815
2025-10-24 09:46:00,29.83,29.88,29.95,29.83,62171,185772584.0,29.653,1.1167512690355208
2025-10-24 09:47:00,29.88,29.9,29.91,29.87,42678,127570467.0,29.672,1.1844331641285955
2025-10-24 09:48:00,29.9,29.97,30.0,29.9,84852,254283241.0,29.711,1.4213197969543012
2025-10-24 09:49:00,29.99,30.01,30.06,29.99,63820,191521971.0,29.738,1.5566835871404505
2025-10-24 09:50:00,30.01,29.94,30.02,29.94,33176,99478954.0,29.75,1.3197969543147225
2025-10-24 09:51:00,29.94,29.87,29.94,29.87,20552,61430012.0,29.753,1.0829103214889946
2025-10-24 09:52:00,29.88,29.81,29.88,29.81,21944,65494754.0,29.756,0.879864636209815
2025-10-24 09:53:00,29.81,29.77,29.82,29.76,19280,57441991.0,29.757,0.7445008460236879
2025-10-24 09:54:00,29.78,29.83,29.83,29.78,11922,35527757.0,29.758,0.9475465313028675
2025-10-24 09:55:00,29.83,29.74,29.83,29.72,23253,69229070.0,29.758,0.6429780033840871
2025-10-24 09:56:00,29.74,29.7,29.74,29.68,18622,55331329.0,29.757,0.50761421319796
2025-10-24 09:57:00,29.7,29.69,29.7,29.68,16638,49394301.0,29.756,0.47377326565143374
2025-10-24 09:58:00,29.69,29.64,29.69,29.63,16288,48294990.0,29.754,0.3045685279187804
2025-10-24 09:59:00,29.65,29.59,29.65,29.59,23120,68473456.0,29.75,0.1353637901861271
2025-10-24 10:00:00,29.59,29.56,29.59,29.55,19336,57154953.0,29.746,0.03384094754652622
2025-10-24 10:01:00,29.56,29.58,29.59,29.56,19247,56909418.0,29.743,0.10152284263957867
2025-10-24 10:02:00,29.58,29.59,29.59,29.56,18719,55345898.0,29.739,0.1353637901861271
2025-10-24 10:03:00,29.59,29.59,29.62,29.59,11247,33297511.0,29.738,0.1353637901861271
2025-10-24 10:04:00,29.57,29.6,29.6,29.57,10834,32056579.0,29.736,0.16920473773265332
2025-10-24 10:05:00,29.6,29.62,29.62,29.59,8602,25459654.0,29.735,0.23688663282572797
2025-10-24 10:06:00,29.61,29.59,29.62,29.59,10534,31173255.0,29.733,0.1353637901861271
2025-10-24 10:07:00,29.6,29.63,29.63,29.59,4506,13337792.0,29.733,0.2707275803722542
2025-10-24 10:08:00,29.63,29.66,29.67,29.63,5344,15847403.0,29.732,0.37225042301183286
2025-10-24 10:09:00,29.66,29.64,29.68,29.63,4247,12595969.0,29.732,0.3045685279187804
2025-10-24 10:10:00,29.64,29.62,29.65,29.62,6040,17902449.0,29.731,0.23688663282572797
