"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 29 17:46:25 CST 2025","Wed Jan 29 17:46:33 CST 2025","7429","testcases","test_rename","","","","test_rename[\u91cd\u547d\u540d\u6210\u529f]",""
"failed","Wed Jan 29 17:46:10 CST 2025","Wed Jan 29 17:46:18 CST 2025","7521","testcases","test_login","","","","test_login[success]",""
"broken","Wed Jan 29 17:46:33 CST 2025","Wed Jan 29 17:46:40 CST 2025","7387","testcases","test_rename","","","","test_rename[\u91cd\u547d\u540d\u5931\u8d25]",""
"skipped","Wed Jan 29 17:46:40 CST 2025","Wed Jan 29 17:46:40 CST 2025","0","testcases","test_rename_excel","","","","test_rename[test_case0]",""
"failed","Wed Jan 29 17:46:18 CST 2025","Wed Jan 29 17:46:25 CST 2025","7410","testcases","test_login","","","","test_login[False]",""
