date,type,stock_code,start_date,end_date,initial_capital,price,quantity,amount,position,capital,signal_type,final_capital,total_return,trade_count,win_rate
2025-11-13 22:23:34,回测开始,002415,20241113,20251113,10000.0,,,,,,,,,,
2024-11-14,买入,,,,,35.690098199173114,200.0,7138.0196398346225,200.0,2861.9803601653775,H2持续在H1上方且VAR1由负转正,,,,
2025-02-05,卖出,,,,,7628.18325465524,200.0,1525636.650931048,0.0,1528498.6312912134,价格跌破生命线,,,,
2025-03-11,买入,,,,,7091.514201794845,200.0,1418302.8403589688,200.0,110195.79093224462,H2上穿H1且价格在生命线上方,,,,
2025-11-13,强制卖出,,,,,2.0404614923335878e+24,200.0,4.080922984667176e+26,0.0,4.080922984667176e+26,回测结束强制卖出,,,,
2025-11-13 22:23:34,回测结果,,,,,,,,,,,4.080922984667176e+26,4.0809229846671757e+24,4.0,100.0
