date,type,stock_code,start_date,end_date,initial_capital,final_capital,total_return,trade_count,win_rate
2025-11-13 22:18:56,回测开始,600030,20241113,20251113,10000.0,,,,
2025-11-13 22:18:56,回测结果,,,,,10000.0,0.0,0.0,0.0
