证券代码,证券名称,股票余额,可用余额,冻结数量,成本价,市价,盈亏,盈亏比(%),当日盈亏,当日盈亏比(%),市值,仓位占比(%),当日买入,当日卖出,交易市场,持股天数,Unnamed: 17
600118,中国卫星,300,300,0,37.746,37.88,40.39,0.36,0.0,0.0,11364.0,18.44,0,0,上海Ａ股,2,
888880,新标准券,0,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,上海Ａ股,--,
158,常山北明,900,900,0,22.765,22.21,-499.44,-2.44,-9.0,-0.05,19989.0,32.43,0,0,深圳Ａ股,2,
2173,创新医疗,700,700,0,21.865,24.15,1599.71,10.45,1540.0,10.02,16905.0,27.43,0,0,深圳Ａ股,2,
