时间,开盘,收盘,最高,最低,成交量,成交额,均价,XG,XG_480,日期,月初,RQ,RQ变化,JY,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,H1,L1,P1,阻力,支撑,累计成交额,累计成交量,均价基础,均线,EMA12,EMA26,DIF,DEA,MACD1,MACD2,XX,主力,大户,散户,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,机构买盘,机构卖盘,散户买盘,散户卖盘,cross_support,longcross_support,longcross_resistance,主力_拉信号,主力_冲信号
2025-09-29 10:26:00,7.31,7.29,7.31,7.29,149504.0,109133729.0,7.325,7.4,8.36,2025-09-29,2025-09-01,29,False,57,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1064934696.0,145382000.0,7.325079418359907,7.325079418359907,7.311117655680785,7.319616541650284,7.401501114030501,7.403004426772117,-0.015033127416161918,-0.011602709723204875,7.325981954382264,0.9986964980750517,1.0009803966830935,1.00295839903616,6836.031092821217,12111.47591633167,36400.663292083234,0.0,0.0,48512.139208414905,24.96586651085223,75.03413348914776,0.0,0.0,12111.47591633167,36400.663292083234,0.0,0.0,False,False,False,False,False
2025-09-29 10:27:00,7.29,7.29,7.3,7.28,45413.0,33101659.0,7.324,7.4,8.36,2025-09-29,2025-09-01,29,False,58,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1098036355.0,149923300.0,7.323987365539579,7.323987365539579,7.307868785576049,7.317422723750263,7.400446061825786,7.402492753782851,-0.020466919570649722,-0.01751218295483477,7.325981954382264,0.9983528740885702,1.000787217979287,1.0028283171713803,2076.4974851394604,12111.47591633167,36400.663292083234,0.0,0.0,48512.139208414905,24.96586651085223,75.03413348914776,0.0,0.0,12111.47591633167,36400.663292083234,0.0,0.0,False,False,False,False,False
2025-09-29 10:28:00,7.29,7.29,7.29,7.28,10868.0,7916998.0,7.324,7.4,8.36,2025-09-29,2025-09-01,29,False,59,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1105953353.0,151010100.0,7.323704527048191,7.323704527048191,7.305119741641272,7.315391410879873,7.399728330761399,7.401939869178561,-0.02211538417161485,-0.02058098376602149,7.325981954382264,0.9980419761960394,1.000600373003474,1.0027003854200682,496.93644261545495,12111.47591633167,36400.663292083234,0.0,0.0,48512.139208414905,24.96586651085223,75.03413348914776,0.0,0.0,12111.47591633167,36400.663292083234,0.0,0.0,False,False,False,False,False
2025-09-29 10:29:00,7.29,7.29,7.29,7.28,11098.0,8086853.0,7.323,7.4,8.36,2025-09-29,2025-09-01,29,False,60,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1114040206.0,152119900.0,7.323435040385906,7.323435040385906,7.3027936275426155,7.313510565629512,7.399283061913104,7.40140850772547,-0.02125445812366067,-0.021029966671114276,7.325981954382264,0.9977606876266067,1.000419654092442,1.002574568243158,507.45313214449016,12111.47591633167,36400.663292083234,0.0,0.0,48512.139208414905,24.96586651085223,75.03413348914776,0.0,0.0,12111.47591633167,36400.663292083234,0.0,0.0,False,False,False,False,False
2025-09-29 10:30:00,7.29,7.29,7.29,7.28,13657.0,9949687.0,7.323,7.4,8.36,2025-09-29,2025-09-01,29,False,61,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1123989893.0,153485600.0,7.323096713958834,7.323096713958834,7.300825377151444,7.311769042249549,7.399056334901895,7.400938073160755,-0.018817382588594,-0.01955491061610076,7.325981954382264,0.997506188444739,1.0002448603916076,1.0024508306890065,624.4627343392775,12111.47591633167,36400.663292083234,0.0,0.0,48512.139208414905,24.96586651085223,75.03413348914776,0.0,0.0,12111.47591633167,36400.663292083234,0.0,0.0,False,False,False,False,False
2025-09-29 10:31:00,7.29,7.27,7.29,7.27,76941.0,56010667.0,7.321,7.4,8.36,2025-09-29,2025-09-01,29,False,62,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1180000560.0,161179700.0,7.321024669980153,7.321024669980153,7.2960830114358375,7.308675039119953,7.397407972315885,7.4002320529917816,-0.028240806758965675,-0.02534550804467737,7.325981954382264,0.99701592637975,0.9999862891250747,1.002284014260467,3527.785419532325,12111.47591633167,39928.44871161556,0.0,0.0,52039.92462794723,23.273430933886083,76.72656906611392,0.0,0.0,12111.47591633167,39928.44871161556,0.0,0.0,False,False,False,False,False
2025-09-29 10:32:00,7.27,7.27,7.28,7.26,36597.0,26606940.0,7.32,7.4,8.36,2025-09-29,2025-09-01,29,False,63,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1206607500.0,164839400.0,7.319897427435431,7.319897427435431,7.2920702404457085,7.305810221407364,7.396260019038345,7.399437646201095,-0.03177627162750163,-0.02963268376656021,7.325981954382264,0.996572355939998,0.9997361956049855,1.002119955128267,1677.9917469050895,12111.47591633167,39928.44871161556,0.0,0.0,52039.92462794723,23.273430933886083,76.72656906611392,0.0,0.0,12111.47591633167,39928.44871161556,0.0,0.0,False,False,False,False,False
2025-09-29 10:33:00,7.27,7.28,7.28,7.27,9833.0,7152995.0,7.32,7.4,8.36,2025-09-29,2025-09-01,29,False,64,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1213760495.0,165822700.0,7.319628102786893,7.319628102786893,7.290213280377138,7.303898353154966,7.396314927222172,7.398813102405311,-0.024981751831392174,-0.02653206247644819,7.325981954382264,0.996301030754253,0.999539056125795,1.0019811697788688,450.22893772893775,12561.704854060608,39928.44871161556,0.0,0.0,52490.15356567617,23.931545253231707,76.0684547467683,0.0,0.0,12561.704854060608,39928.44871161556,0.0,0.0,False,False,False,False,False
2025-09-29 10:34:00,7.28,7.29,7.29,7.27,22978.0,16724628.0,7.319,7.4,8.36,2025-09-29,2025-09-01,29,False,65,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1230485123.0,168120500.0,7.319066520739589,7.319066520739589,7.290180468011425,7.302868845513857,7.3973116224975675,7.398512806423763,-0.012011839261951707,-0.016851913666783867,7.325981954382264,0.9961855465126095,0.9993931344894408,1.0018672404637965,1050.6630086877,13612.367862748308,39928.44871161556,0.0,0.0,53540.81657436387,25.424281386971057,74.57571861302894,0.0,0.0,13612.367862748308,39928.44871161556,0.0,0.0,False,False,False,False,False
2025-09-29 10:35:00,7.29,7.29,7.29,7.28,15264.0,11115567.0,7.319,7.4,8.36,2025-09-29,2025-09-01,29,False,66,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1241600690.0,169646900.0,7.31873491351743,7.31873491351743,7.290152703701975,7.301915597698016,7.398237106003959,7.398457666339802,-0.002205603358422792,-0.007087706794543151,7.325981954382264,0.9960810607701701,0.9992519971690327,1.001755194277899,697.9423868312757,13612.367862748308,39928.44871161556,0.0,0.0,53540.81657436387,25.424281386971057,74.57571861302894,0.0,0.0,13612.367862748308,39928.44871161556,0.0,0.0,False,False,False,False,False
2025-09-29 10:36:00,7.28,7.28,7.29,7.27,22261.0,16203844.0,7.318,7.4,8.36,2025-09-29,2025-09-01,29,False,67,,,,,,,,,,7.41,7.26,0.15000000000000036,7.3933333333333335,7.2683333333333335,1257804534.0,171873000.0,7.318220628021853,7.318220628021853,7.2885907492862865,7.300292220090755,7.398298529195531,7.398425838910947,-0.0012730971541596858,-0.003211300367620841,7.325981954382264,0.9958565256005992,0.999070733048398,1.0016224380334655,1019.2765567765567,13612.367862748308,40947.72526839212,0.0,0.0,54560.09313114043,24.949311999944122,75.05068800005587,0.0,0.0,13612.367862748308,40947.72526839212,0.0,0.0,False,False,False,False,False
