symbol,indicator,initial_capital,final_capital,profit,profit_rate,total_trades,win_rate,max_drawdown,sharpe_ratio
000333,resistance_support,100000,93371.0459371,-6628.954062899997,-6.628954062899995,9,0.0,0.0,0.0
000333,extended,100000,86127.57976689999,-13872.420233100012,-13.872420233100014,10,0.0,0.0,0.0
000333,volume_price,100000,86168.3605849,-13831.639415099999,-13.831639415099994,12,0.16666666666666666,0.0,0.0
