时间,开盘,收盘,最高,最低,成交量,成交额,均价,量价,A2,A3,A2_cum,A3_cum,A6_cum,H1,L1,P1,支撑,阻力,章鱼底参考,XX,CLOSE_XX,主力,大户,散户,L01,L02,L03,L04,L05,精准线首次,精准左,G1,G2,G3,G4,G5,精准线首次1,精准左1,支撑1,买入信号,卖出信号,主力>大户,大户>散户,C>EXPMA20,EXPMA10>EXPMA20,EXPMA20>EXPMA60,主力=HHV30,CROSS主力1.003,主力资金流入
2025-10-16 09:30:00,73.2,73.2,73.2,73.2,2085.0,15262200.0,73.2,9.494535519125682,0.0,0.0,0.0,0.0,0.0,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.2,1.0,1.0,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,False,False,False,False,False,False,False,False
2025-10-16 09:31:00,73.2,73.26,73.48,73.1,8217.0,60249659.0,73.299,37.387387387387385,37.387387387387385,0.0,37.387387387387385,0.0,37.387387387387385,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.29825179576781,0.9994781349509619,0.9999502985667583,0.9999828896705233,0.9999913741314209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,False,False,True,True,True,False,False,False
2025-10-16 09:32:00,73.32,73.23,73.38,73.17,2935.0,21491170.0,73.283,13.359734170877145,0.0,13.359734170877145,37.387387387387385,13.359734170877145,50.74712155826453,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.2817322656191,0.9992940632812611,0.9998877999681396,0.9999603051987441,0.9999798483322448,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,False,False,True,True,True,False,False,False
2025-10-16 09:33:00,73.24,73.4,73.42,73.23,1754.0,12864240.0,73.292,7.965485921889191,7.965485921889191,0.0,45.352873309276575,13.359734170877145,58.71260748015372,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.28881929157494,1.0015170214160873,1.000042963915563,1.0000113450747226,1.0000052561518127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,True,True,True,True,True,False,False,False
2025-10-16 09:34:00,73.35,73.46,73.5,73.35,3353.0,24616606.0,73.315,15.214629276703876,15.214629276703876,0.0,60.56750258598045,13.359734170877145,73.9272367568576,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.3121865460096,1.00201621941664,1.0002308930109036,1.0000770786597033,1.0000384952140413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,True,True,True,True,True,False,False,False
2025-10-16 09:35:00,73.47,73.54,73.57,73.45,4627.0,34010840.0,73.354,20.972713262623515,20.972713262623515,0.0,81.54021584860396,13.359734170877145,94.89995001948111,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.351057855557,1.002575861207279,1.0004542233153204,1.000159005956345,1.0000804351478139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,True,True,True,True,True,False,False,False
2025-10-16 09:36:00,73.53,73.59,73.6,73.46,3405.0,25040245.0,73.378,15.423291208044569,15.423291208044569,0.0,96.96350705664854,13.359734170877145,110.32324122752568,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.37540188049742,1.0029246602267623,1.000689503021172,1.000249683145539,1.00012744713259,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,True,True,True,True,True,True,False,False,False
2025-10-16 09:37:00,73.59,73.62,73.68,73.57,3240.0,23850712.0,73.403,14.669926650366747,14.669926650366747,0.0,111.63343370701529,13.359734170877145,124.99316787789243,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.40142895732036,1.0029777491499072,1.0009074312239086,1.0003391279325673,1.0001745595626284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,True,True,True,True,True,False,False,False
2025-10-16 09:38:00,73.62,73.62,73.64,73.56,2377.0,17493718.0,73.418,10.762473965407949,0.0,0.0,111.63343370701529,13.359734170877145,124.99316787789243,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.41586909636483,1.002780473842341,1.0010858162351879,1.0004191720607567,1.0002176325259293,False,False,False,False,False,False,False,False,False,False,False,False,False,False,72.66624999999999,False,False,True,True,True,True,True,False,False,False
2025-10-16 09:39:00,73.57,73.5,73.57,73.5,1918.0,14099756.0,73.424,8.698412698412698,0.0,8.698412698412698,111.63343370701529,22.058146869289843,133.6915805763051,73.69,72.52,1.1700000000000017,72.66624999999999,73.54375,72.91,73.42135177376073,1.001071190114854,1.0010844232713465,1.0004405497018745,1.000231740915829,False,False,False,False,False,False,False,False,False,False,True,False,True,True,72.66624999999999,False,False,True,True,True,True,True,False,False,False
