时间,index,开盘,收盘,最高,最低,成交量,成交额,均价,XG_480,XG,日期,月初,RQ,RQ变化,JY,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,H1,L1,P1,阻力,支撑,累计成交额,累计成交量,均价基础,均线,EMA12,EMA26,DIF,DEA,MACD1,MACD2,XX,主力,大户,散户,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,机构买盘,机构卖盘,散户买盘,散户卖盘,cross_support,longcross_support,longcross_resistance,主力_拉信号,主力_冲信号,压力信号
2025-10-10 09:30:00,0.0,72.45,72.45,72.45,72.45,1642.0,11896290.0,72.45,73.73,73.73,2025-10-10,2025-10-01,10,True,1,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,11896290.0,164200.0,72.45,72.45,72.45,72.45,72.45,72.45,0.0,0.0,73.20004086558941,0.9897535458078959,0.9897535458078959,0.9897535458078959,7.554635380722337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False
2025-10-10 09:31:00,1.0,72.4,72.62,72.68,72.1,10569.0,76460277.0,72.361,73.73,73.73,2025-10-10,2025-10-01,10,False,2,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,88356567.0,1221100.0,72.35817459667513,72.35817459667513,72.47615384615385,72.4625925925926,72.46356125356125,72.45271225071227,0.10849002848985378,0.07232668565990252,73.20004086558941,0.9899747270531387,0.9898296901710122,0.9897919326355827,48.512806389424405,48.512806389424405,0.0,0.0,0.0,48.512806389424405,100.0,0.0,0.0,0.0,48.512806389424405,0.0,0.0,0.0,False,False,False,False,False,False
2025-10-10 09:32:00,2.0,72.63,72.65,72.8,72.63,6445.0,46848708.0,72.474,73.73,73.73,2025-10-10,2025-10-01,10,False,3,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,135205275.0,1865600.0,72.47281035591767,72.47281035591767,72.50289940828402,72.47647462277094,72.47642478551309,72.45745475767244,0.18970027840651937,0.1505757474909804,73.20004086558941,0.9902138754023369,0.9899167752381829,0.9898364591163124,29.571002523514565,48.512806389424405,0.0,29.571002523514565,0.0,78.08380891293896,62.12914951871096,0.0,37.87085048128905,0.0,48.512806389424405,0.0,29.571002523514565,0.0,False,False,False,False,False,False
2025-10-10 09:33:00,3.0,72.65,72.74,72.74,72.65,4826.0,35084283.0,72.52,73.73,73.73,2025-10-10,2025-10-01,10,False,4,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,170289558.0,2348200.0,72.51918831445363,72.51918831445363,72.53937642239417,72.4959950210842,72.49338140130997,72.46464008639995,0.2874131491002174,0.2418006818971384,73.20004086558941,0.9905473436716419,0.9900413167788995,0.989900572060341,22.115296489780956,48.512806389424405,0.0,51.686299013295525,0.0,100.19910540271994,48.41640670786619,0.0,51.583593292133806,0.0,48.512806389424405,0.0,51.686299013295525,0.0,False,False,False,False,False,False
2025-10-10 09:34:00,4.0,72.74,72.74,72.75,72.6,3325.0,24168004.0,72.541,73.73,73.73,2025-10-10,2025-10-01,10,False,5,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,194457562.0,2680700.0,72.53984481665236,72.53984481665236,72.57024158817968,72.51406946396685,72.50617212421284,72.47294649396254,0.33225630250299787,0.3021044289677114,73.20004086558941,0.990849053058156,0.9901617749904124,0.9899636252862866,15.23691687288058,48.512806389424405,0.0,51.686299013295525,0.0,100.19910540271994,48.41640670786619,0.0,51.583593292133806,0.0,48.512806389424405,0.0,51.686299013295525,0.0,False,False,False,False,False,False
2025-10-10 09:35:00,5.0,72.73,72.59,72.73,72.59,3611.0,26238914.0,72.556,73.73,73.73,2025-10-10,2025-10-01,10,False,6,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,220696476.0,3041800.0,72.55456506016175,72.55456506016175,72.57328134384434,72.51969394811746,72.50358739572688,72.47907467431541,0.24512721411468874,0.2641196190656963,73.20004086558941,0.9909268682951099,0.9902110975496176,0.9899917655798385,16.581714653074343,48.512806389424405,0.0,51.686299013295525,16.581714653074343,116.78082005579428,41.54175862632792,0.0,44.259236224408596,14.199005149263476,48.512806389424405,0.0,51.686299013295525,16.581714653074343,False,False,False,False,False,False
2025-10-10 09:36:00,6.0,72.6,72.52,72.61,72.49,2352.0,17064615.0,72.555,73.73,73.73,2025-10-10,2025-10-01,10,False,7,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,237761091.0,3277000.0,72.55449832163565,72.55449832163565,72.56508421402214,72.51971661862729,72.49536759539485,72.48233325853131,0.1303433686354083,0.17493545211217099,73.20004086558941,0.9909061979267217,0.9902274494144508,0.990003634403759,10.810810810810812,48.512806389424405,0.0,51.686299013295525,27.392525463885157,127.5916308666051,38.02193455787373,0.0,40.509160876964316,21.468904565161942,48.512806389424405,0.0,51.686299013295525,27.392525463885157,False,False,False,False,False,False
2025-10-10 09:37:00,7.0,72.65,72.78,72.78,72.61,3341.0,24286305.0,72.568,73.73,73.73,2025-10-10,2025-10-01,10,False,8,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,262047396.0,3611100.0,72.56719448367534,72.56719448367534,72.59814818109565,72.53899686909935,72.5091513119963,72.48769686922432,0.2145444277198294,0.20134143585060993,73.20004086558941,0.9912257733634533,0.9903597212373345,0.9900740163146458,15.301822845103965,48.512806389424405,0.0,66.9881218583995,27.392525463885157,142.89345371170907,33.95033511283179,0.0,46.87976958941004,19.169895297758167,48.512806389424405,0.0,66.9881218583995,27.392525463885157,False,False,False,False,False,False
2025-10-10 09:38:00,8.0,72.77,72.82,72.86,72.76,3483.0,25358588.0,72.589,73.73,73.73,2025-10-10,2025-10-01,10,False,9,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,287405984.0,3959400.0,72.58826690912764,72.58826690912764,72.63227923015786,72.55981191583273,72.52246731432514,72.49465095824449,0.2781635608064903,0.2525561858211968,73.20004086558941,0.9915669556902452,0.9905055725998733,0.9901522670829123,15.943422136775611,48.512806389424405,0.0,82.9315439951751,27.392525463885157,158.83687584848468,30.54253373486206,0.0,52.21176981237275,17.24569645276518,48.512806389424405,0.0,82.9315439951751,27.392525463885157,False,False,False,False,False,False
2025-10-10 09:39:00,9.0,72.82,72.8,72.82,72.76,3519.0,25612399.0,72.605,73.73,73.73,2025-10-10,2025-10-01,10,False,10,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,313018383.0,4311300.0,72.60417577064922,72.60417577064922,72.65808242551819,72.57760362577105,72.53047879974714,72.50181652654503,0.28662273202115784,0.2752672166211708,73.20004086558941,0.9918496231391348,0.9906376837901589,0.9902247083526756,16.11263736263736,48.512806389424405,0.0,82.9315439951751,43.50516282652252,174.94951321112205,27.72960352903703,0.0,47.40312932171274,24.867267149250214,48.512806389424405,0.0,82.9315439951751,43.50516282652252,False,False,False,False,False,False
2025-10-10 09:40:00,10.0,72.78,72.82,72.86,72.76,3503.0,25504092.0,72.62,73.73,73.73,2025-10-10,2025-10-01,10,False,11,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,338522475.0,4661600.0,72.61937424918483,72.61937424918483,72.68299282159231,72.59555891275096,72.53743390884135,72.5089400030043,0.2849390583705258,0.2817151111207408,73.20004086558941,0.9921313912015761,0.9907744216263755,0.9903004683434541,16.03497207726815,48.512806389424405,0.0,98.96651607244326,43.50516282652252,190.9844852883902,25.40143840279442,0.0,51.819139090278426,22.779422506927144,48.512806389424405,0.0,98.96651607244326,43.50516282652252,False,False,False,False,False,False
2025-10-10 09:41:00,11.0,72.84,72.93,73.05,72.79,9381.0,68409231.0,72.671,73.73,73.73,2025-10-10,2025-10-01,10,False,12,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,406931706.0,5599700.0,72.67026912156008,72.67026912156008,72.72099392596273,72.62033232662125,72.55066159934148,72.51728432227173,0.3337727706974647,0.3164202175052234,73.20004086558941,0.9925294414867852,0.9909559461368639,0.990399814638542,42.876731112025226,91.38953750144964,0.0,98.96651607244326,43.50516282652252,233.8612164004154,39.078535085087886,0.0,42.31848170283761,18.60298321207451,91.38953750144964,0.0,98.96651607244326,43.50516282652252,False,False,False,False,False,False
2025-10-10 09:42:00,12.0,72.9,72.85,72.94,72.79,3556.0,25908816.0,72.682,73.73,73.73,2025-10-10,2025-10-01,10,False,13,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,432840522.0,5955300.0,72.68156465669236,72.68156465669236,72.74084101427616,72.63734474687153,72.55349626740463,72.52452671129832,0.2896955610630414,0.29860377987710207,73.20004086558941,0.992785496929143,0.991095686382591,0.9904794544566082,16.270876229695723,91.38953750144964,0.0,98.96651607244326,59.776039056218245,250.13209263011115,36.53651018567782,0.0,39.56570107890649,23.89778873541569,91.38953750144964,0.0,98.96651607244326,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:43:00,13.0,72.86,72.93,73.0,72.86,6370.0,46475486.0,72.709,73.73,73.73,2025-10-10,2025-10-01,10,False,14,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,479316008.0,6592300.0,72.70846411722768,72.70846411722768,72.76994239669521,72.65902291376995,72.56091948292527,72.53180526562372,0.2911421730155439,0.29362937530273,73.20004086558941,0.9931212514307742,0.9912666776223837,0.9905758423035448,29.1146761734997,91.38953750144964,0.0,128.08119224594296,59.776039056218245,279.24676880361085,32.72716024360598,0.0,45.86666939592061,21.406170360473407,91.38953750144964,0.0,128.08119224594296,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:44:00,14.0,72.98,73.06,73.07,72.89,5775.0,42155560.0,72.732,73.73,73.73,2025-10-10,2025-10-01,10,False,15,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,521471568.0,7169800.0,72.73167563948785,72.73167563948785,72.81456664335748,72.68872492015736,72.57584172320013,72.540612557139,0.3522916606112858,0.33273756550843386,73.20004086558941,0.9935941679125059,0.9914902906344025,0.9906999915958656,26.34820695318916,91.38953750144964,0.0,154.42939919913212,59.776039056218245,305.5949757568,29.90544503394574,0.0,50.53401117498438,19.56054379106988,91.38953750144964,0.0,154.42939919913212,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:45:00,15.0,73.06,73.15,73.2,73.05,5463.0,39953301.0,72.761,73.73,73.73,2025-10-10,2025-10-01,10,False,16,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,561424869.0,7716100.0,72.76018571558171,72.76018571558171,72.86617177514864,72.72289344459016,72.59327833055849,72.5511457118229,0.4213261873559304,0.39179664674009823,73.20004086558941,0.9941391406826745,0.9917468837939065,0.9908424112719552,24.894053315105946,91.38953750144964,0.0,179.32345251423806,59.776039056218245,330.4890290719059,27.652820354761495,0.0,54.260031873923985,18.087147771314523,91.38953750144964,0.0,179.32345251423806,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:46:00,16.0,73.13,73.27,73.28,73.12,7259.0,53123528.0,72.797,73.73,73.73,2025-10-10,2025-10-01,10,False,17,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,614548397.0,8442000.0,72.79654074863777,72.79654074863777,72.92829919435654,72.76341985610199,72.61487933825455,72.56389243710923,0.509869011453219,0.47051155654884536,73.20004086558941,0.9947883392220741,0.9920488130251347,0.9910095734880613,33.02397525135344,91.38953750144964,0.0,212.3474277655915,59.776039056218245,363.51300432325934,25.140651480016963,0.0,58.41535935169967,16.443989168283373,91.38953750144964,0.0,212.3474277655915,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:47:00,17.0,73.28,73.46,73.46,73.27,8815.0,64662193.0,72.85,73.73,73.73,2025-10-10,2025-10-01,10,False,18,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,679210590.0,9323500.0,72.84931517134123,72.84931517134123,73.01009931830168,72.81501838527961,72.64508093302207,72.58013013629181,0.6495079673025828,0.589842497051337,73.20004086558941,0.9956229118973625,0.9924259454607893,0.9912168756173926,39.999092476631276,91.38953750144964,0.0,252.34652024222277,59.776039056218245,403.5120967998906,22.64852484627529,0.0,62.53753536597596,14.813939787748748,91.38953750144964,0.0,252.34652024222277,59.776039056218245,False,False,False,False,False,False
2025-10-10 09:48:00,18.0,73.51,73.46,73.57,73.46,11477.0,84374965.0,72.923,73.73,73.73,2025-10-10,2025-10-01,10,False,19,,,,,,,,,,73.73,72.1,1.6300000000000097,73.5488888888889,72.19055555555555,763585555.0,10471200.0,72.92244967147987,72.92244967147987,73.07931480779374,72.86279480118482,72.66652000660892,72.59740811035523,0.6911189625368763,0.6573601407083632,73.20004086558941,0.9963780014607186,0.9927907128985536,0.9914207512652473,52.07822851438425,91.38953750144964,0.0,252.34652024222277,59.776039056218245,403.5120967998906,22.64852484627529,0.0,62.53753536597596,14.813939787748748,91.38953750144964,0.0,252.34652024222277,59.776039056218245,False,False,False,False,False,False
